Datetime,Open,High,Low,Close,Adj Close,Volume
2023-07-07 17:29:00+00:00,30296.51953125,30296.51953125,30296.51953125,30296.51953125,30296.51953125,0
2023-07-07 17:30:00+00:00,30291.49609375,30291.49609375,30291.49609375,30291.49609375,30291.49609375,196608
2023-07-07 17:31:00+00:00,30294.509765625,30294.509765625,30294.509765625,30294.509765625,30294.509765625,0
2023-07-07 17:32:00+00:00,30279.1171875,30279.1171875,30279.1171875,30279.1171875,30279.1171875,0
2023-07-07 17:33:00+00:00,30276.103515625,30276.103515625,30276.103515625,30276.103515625,30276.103515625,0
2023-07-07 17:34:00+00:00,30277.94921875,30277.94921875,30277.94921875,30277.94921875,30277.94921875,0
2023-07-07 17:35:00+00:00,30285.15234375,30285.15234375,30285.15234375,30285.15234375,30285.15234375,0
2023-07-07 17:36:00+00:00,30269.298828125,30269.298828125,30269.298828125,30269.298828125,30269.298828125,941056
2023-07-07 17:38:00+00:00,30281.142578125,30281.142578125,30281.142578125,30281.142578125,30281.142578125,0
2023-07-07 17:39:00+00:00,30262.37109375,30262.37109375,30262.37109375,30262.37109375,30262.37109375,300032
2023-07-07 17:41:00+00:00,30263.8671875,30263.8671875,30263.8671875,30263.8671875,30263.8671875,11080704
2023-07-07 17:42:00+00:00,30271.00390625,30271.00390625,30271.00390625,30271.00390625,30271.00390625,768000
2023-07-07 17:43:00+00:00,30268.912109375,30268.912109375,30268.912109375,30268.912109375,30268.912109375,0
2023-07-07 17:44:00+00:00,30268.513671875,30268.513671875,30268.513671875,30268.513671875,30268.513671875,0
2023-07-07 17:45:00+00:00,30266.8671875,30266.8671875,30266.8671875,30266.8671875,30266.8671875,1222656
2023-07-07 17:47:00+00:00,30266.5625,30266.5625,30266.5625,30266.5625,30266.5625,0
2023-07-07 17:48:00+00:00,30264.7578125,30264.7578125,30264.7578125,30264.7578125,30264.7578125,806912
2023-07-07 17:50:00+00:00,30232.681640625,30232.681640625,30232.681640625,30232.681640625,30232.681640625,17146880
2023-07-07 17:51:00+00:00,30242.36328125,30242.36328125,30242.36328125,30242.36328125,30242.36328125,0
2023-07-07 17:52:00+00:00,30255.39453125,30255.39453125,30255.39453125,30255.39453125,30255.39453125,9123840
2023-07-07 17:53:00+00:00,30257.759765625,30257.759765625,30257.759765625,30257.759765625,30257.759765625,3996672
2023-07-07 17:54:00+00:00,30255.279296875,30255.279296875,30255.279296875,30255.279296875,30255.279296875,1298432
2023-07-07 17:55:00+00:00,30251.8203125,30251.8203125,30251.8203125,30251.8203125,30251.8203125,8450048
2023-07-07 17:56:00+00:00,30244.986328125,30244.986328125,30244.986328125,30244.986328125,30244.986328125,1464320
2023-07-07 17:57:00+00:00,30260.052734375,30260.052734375,30260.052734375,30260.052734375,30260.052734375,2950144
2023-07-07 17:58:00+00:00,30226.052734375,30226.052734375,30226.052734375,30226.052734375,30226.052734375,11154432
2023-07-07 17:59:00+00:00,30237.287109375,30237.287109375,30237.287109375,30237.287109375,30237.287109375,317440
2023-07-07 18:00:00+00:00,30243.201171875,30243.201171875,30243.201171875,30243.201171875,30243.201171875,474112
2023-07-07 18:02:00+00:00,30250.38671875,30250.38671875,30250.38671875,30250.38671875,30250.38671875,0
2023-07-07 18:03:00+00:00,30249.916015625,30249.916015625,30249.916015625,30249.916015625,30249.916015625,54272
2023-07-07 18:04:00+00:00,30247.94921875,30247.94921875,30247.94921875,30247.94921875,30247.94921875,0
2023-07-07 18:05:00+00:00,30236.9140625,30236.9140625,30236.9140625,30236.9140625,30236.9140625,0
2023-07-07 18:06:00+00:00,30235.5390625,30235.5390625,30235.5390625,30235.5390625,30235.5390625,27714560
2023-07-07 18:07:00+00:00,30243.40625,30243.40625,30243.40625,30243.40625,30243.40625,0
2023-07-07 18:08:00+00:00,30231.31640625,30231.31640625,30231.31640625,30231.31640625,30231.31640625,321536
2023-07-07 18:09:00+00:00,30233.619140625,30233.619140625,30233.619140625,30233.619140625,30233.619140625,0
2023-07-07 18:11:00+00:00,30236.140625,30236.140625,30236.140625,30236.140625,30236.140625,2387968
2023-07-07 18:12:00+00:00,30239.978515625,30239.978515625,30239.978515625,30239.978515625,30239.978515625,2344960
2023-07-07 18:13:00+00:00,30240.533203125,30240.533203125,30240.533203125,30240.533203125,30240.533203125,13461504
2023-07-07 18:15:00+00:00,30243.955078125,30243.955078125,30243.955078125,30243.955078125,30243.955078125,1424384
2023-07-07 18:16:00+00:00,30240.96875,30240.96875,30240.96875,30240.96875,30240.96875,5374976
2023-07-07 18:17:00+00:00,30228.052734375,30228.052734375,30228.052734375,30228.052734375,30228.052734375,29334528
2023-07-07 18:18:00+00:00,30219.859375,30219.859375,30219.859375,30219.859375,30219.859375,0
2023-07-07 18:19:00+00:00,30229.400390625,30229.400390625,30229.400390625,30229.400390625,30229.400390625,0
2023-07-07 18:20:00+00:00,30227.544921875,30227.544921875,30227.544921875,30227.544921875,30227.544921875,0
2023-07-07 18:21:00+00:00,30230.95703125,30230.95703125,30230.95703125,30230.95703125,30230.95703125,0
2023-07-07 18:23:00+00:00,30241.025390625,30241.025390625,30241.025390625,30241.025390625,30241.025390625,0
2023-07-07 18:24:00+00:00,30235.326171875,30235.326171875,30235.326171875,30235.326171875,30235.326171875,0
2023-07-07 18:26:00+00:00,30226.384765625,30226.384765625,30226.384765625,30226.384765625,30226.384765625,0
2023-07-07 18:27:00+00:00,30225.068359375,30225.068359375,30225.068359375,30225.068359375,30225.068359375,79872
2023-07-07 18:28:00+00:00,30221.2421875,30221.2421875,30221.2421875,30221.2421875,30221.2421875,0
2023-07-07 18:29:00+00:00,30212.529296875,30212.529296875,30212.529296875,30212.529296875,30212.529296875,0
2023-07-07 18:30:00+00:00,30221.861328125,30221.861328125,30221.861328125,30221.861328125,30221.861328125,0
2023-07-07 18:31:00+00:00,30213.107421875,30213.107421875,30213.107421875,30213.107421875,30213.107421875,1159168
2023-07-07 18:32:00+00:00,30210.86328125,30210.86328125,30210.86328125,30210.86328125,30210.86328125,74752
2023-07-07 18:33:00+00:00,30194.103515625,30194.103515625,30194.103515625,30194.103515625,30194.103515625,0
2023-07-07 18:34:00+00:00,30180.908203125,30180.908203125,30180.908203125,30180.908203125,30180.908203125,11552768
2023-07-07 18:35:00+00:00,30178.599609375,30178.599609375,30178.599609375,30178.599609375,30178.599609375,0
2023-07-07 18:36:00+00:00,30184.099609375,30184.099609375,30184.099609375,30184.099609375,30184.099609375,0
